product_code,product_category,product_subcategory,description,unit_price,unit_cost,shipping_cost_per_unit,length_in,width_in,height_in,weight_lbs,cubic_ft
FUR-ADV-10003147,Furniture,Furnishings,"Advantus Stacking Tray, Erganomic",23.4,16.17,1.33,14.77,11.11,2.34,1.65,0.222
FUR-ADV-10003326,Furniture,Furnishings,"Advantus Light Bulb, Black",7.43,10.05,0.55,14.98,11.05,17.43,4.55,1.67
FUR-ADV-10004159,Furniture,Furnishings,"Advantus Frame, Durable",42.66,95.67,1.75,11.86,0.96,11.23,1.86,0.074
FUR-ADV-10004223,Furniture,Furnishings,"Advantus Clock, Black",51.39,36.51,5.88,12.15,3.27,10.14,2.31,0.233
FUR-ADV-10004395,Furniture,Furnishings,"Advantus Door Stop, Durable",42.06,21.03,4.7,17.25,12.12,15.42,4.31,1.866
FUR-ADV-10004499,Furniture,Furnishings,"Advantus Photo Frame, Durable",50.01,42.03,3.05,9.3,0.92,12.68,1.43,0.063
FUR-ADV-10004718,Furniture,Furnishings,"Advantus Light Bulb, Duo Pack",5.34,15.41,0.42,17.19,13.47,12.13,4.32,1.625
FUR-ADV-10004971,Furniture,Furnishings,"Advantus Door Stop, Erganomic",43.65,30.12,6.11,14.24,10.5,16.94,4.4,1.466
FUR-BAR-10000560,Furniture,Tables,"Barricks Round Table, with Bottom Storage",501.51,486.48,37.3,43.37,39.66,28.17,63.5,28.04
FUR-BAR-10000831,Furniture,Tables,"Barricks Training Table, Fully Assembled",319.77,198.27,9.19,69.21,24.51,29.78,93.67,29.234
FUR-BAR-10000946,Furniture,Tables,"Barricks Computer Table, with Bottom Storage",480.03,460.83,41.68,65.46,33.24,28.94,69.65,36.441
FUR-BAR-10001039,Furniture,Tables,"Barricks Coffee Table, Fully Assembled",120.59,256.95,29.98,65.93,30.42,28.18,79.79,32.707
FUR-BAR-10002449,Furniture,Tables,"Barricks Training Table, Adjustable Height",320.49,217.95,28.92,65.09,27.69,29.34,90.83,30.602
FUR-BAR-10002710,Furniture,Tables,"Barricks Coffee Table, Adjustable Height",90.41,227.09,6.1,52.48,32.14,29.45,77.09,28.746
FUR-BAR-10003465,Furniture,Tables,"Barricks Computer Table, Adjustable Height",141.92,417.68,19.54,66.42,30.72,28.4,83.67,33.535
FUR-BAR-10003532,Furniture,Tables,"Barricks Conference Table, Rectangular",270.7,614.48,48.76,114.84,45.99,28.93,92.9,88.422
FUR-BAR-10003576,Furniture,Tables,"Barricks Training Table, with Bottom Storage",318.3,187.8,26.15,65.57,35.64,29.3,87.57,39.625
FUR-BAR-10004434,Furniture,Tables,"Barricks Wood Table, Rectangular",514.5,277.83,98.41,52.2,32.59,28.12,53.62,27.684
FUR-BAR-10004553,Furniture,Tables,"Barricks Training Table, Rectangular",315.87,287.46,24.43,54.64,35.63,28.83,60.85,32.481
FUR-BAR-10004561,Furniture,Tables,"Barricks Wood Table, Fully Assembled",518.4,451.02,61.72,67.13,32.75,28.55,80.42,36.324
FUR-BAR-10004682,Furniture,Tables,"Barricks Round Table, Fully Assembled",502.98,271.62,35.62,59.19,46.54,29.93,59.99,47.713
FUR-BEV-10000326,Furniture,Tables,"Bevis Wood Table, Rectangular",531.18,440.88,75.39,70.12,33.69,28.17,74.04,38.511
FUR-BEV-10000388,Furniture,Tables,"Bevis Coffee Table, Rectangular",315.75,186.3,28.79,56.86,32.76,29.95,98.9,32.285
FUR-BEV-10001048,Furniture,Tables,"Bevis Conference Table, with Bottom Storage",923.76,674.37,72.12,97.09,43.0,28.23,137.17,68.204
FUR-BEV-10001217,Furniture,Tables,"Bevis Wood Table, Fully Assembled",535.08,374.58,58.35,58.33,31.33,28.15,68.52,29.771
FUR-BEV-10001853,Furniture,Tables,"Bevis Computer Table, Adjustable Height",492.09,319.86,18.35,67.16,30.6,28.94,50.66,34.418
FUR-BEV-10002193,Furniture,Tables,"Bevis Round Table, Adjustable Height",207.55,504.18,3.05,40.27,51.19,29.19,87.14,34.822
FUR-BEV-10002369,Furniture,Tables,"Bevis Training Table, Fully Assembled",336.45,292.74,33.79,64.35,27.77,28.96,96.29,29.949
FUR-BEV-10002803,Furniture,Tables,"Bevis Conference Table, Fully Assembled",925.23,619.92,89.9,73.91,45.91,29.86,86.33,58.635
FUR-BEV-10003414,Furniture,Tables,"Bevis Computer Table, Fully Assembled",495.99,257.94,28.83,48.71,34.72,28.85,59.42,28.236
FUR-BEV-10004805,Furniture,Tables,"Bevis Conference Table, Rectangular",921.33,479.1,65.13,108.26,38.72,28.91,116.7,70.131
FUR-BEV-10004919,Furniture,Tables,"Bevis Wood Table, with Bottom Storage",533.61,362.88,78.89,65.72,33.5,28.44,52.66,36.235
FUR-BO-10000002,Furniture,Bookcases,"Bush Classic Bookcase, Mobile",415.2,394.44,39.42,35.72,13.71,66.4,57.81,18.818
FUR-BO-10000008,Furniture,Bookcases,"Sauder Library with Doors, Traditional",232.18,360.11,23.32,34.09,13.12,69.64,88.63,18.025
FUR-BO-10000021,Furniture,Bookcases,"Dania Corner Shelving, Metal",121.53,70.5,16.55,32.65,13.1,61.97,72.38,15.339
FUR-BO-10000022,Furniture,Bookcases,"Dania Floating Shelf Set, Traditional",169.35,154.11,12.76,30.18,12.41,68.85,81.16,14.923
FUR-BO-10000034,Furniture,Bookcases,"Safco Classic Bookcase, Pine",219.25,421.42,11.71,34.15,12.09,61.61,56.41,14.721
FUR-BO-10000035,Furniture,Bookcases,"Dania Classic Bookcase, Pine",383.19,238.97,83.12,31.26,14.43,61.84,50.02,16.143
FUR-BO-10000038,Furniture,Bookcases,"Bush Library with Doors, Pine",194.82,238.72,14.09,31.8,12.13,69.11,79.68,15.427
FUR-BO-10000071,Furniture,Bookcases,"Safco 3-Shelf Cabinet, Metal",168.3,89.22,17.07,32.53,12.23,64.83,79.0,14.926
FUR-BO-10000087,Furniture,Bookcases,"Sauder Corner Shelving, Pine",59.06,76.9,3.58,33.28,15.84,61.57,58.99,18.783
FUR-BO-10000112,Furniture,Bookcases,"Dania Corner Shelving, Pine",73.65,88.49,3.09,34.01,12.39,64.33,68.6,15.687
FUR-BO-10000120,Furniture,Bookcases,"Sauder Stackable Bookrack, Mobile",132.04,104.15,37.14,31.92,13.39,71.88,78.82,17.779
FUR-BO-10000148,Furniture,Bookcases,"Bush 3-Shelf Cabinet, Metal",56.73,94.82,3.83,33.41,15.55,68.87,56.93,20.706
FUR-BO-10000155,Furniture,Bookcases,"Dania Corner Shelving, Metal",109.28,64.34,8.67,35.69,15.51,71.66,65.84,22.956
FUR-BO-10000160,Furniture,Bookcases,"Safco Library with Doors, Pine",351.93,195.47,109.41,35.1,15.45,71.03,51.74,22.291
FUR-BO-10000170,Furniture,Bookcases,"Safco Library with Doors, Mobile",352.98,372.62,56.84,34.17,15.17,71.83,75.56,21.547
FUR-BO-10000175,Furniture,Bookcases,"Ikea Stackable Bookrack, Metal",122.04,87.87,5.82,33.47,15.56,67.24,65.85,20.265
FUR-BO-10000184,Furniture,Bookcases,"Sauder Floating Shelf Set, Mobile",51.96,100.58,9.16,34.9,12.0,65.18,51.34,15.797
FUR-BO-10000195,Furniture,Bookcases,"Dania Stackable Bookrack, Pine",80.32,75.37,9.16,32.3,12.3,60.16,51.7,13.832
FUR-BO-10000203,Furniture,Bookcases,"Sauder Library with Doors, Metal",348.28,224.42,37.64,32.8,12.1,70.25,86.92,16.135
FUR-BO-10000208,Furniture,Bookcases,"Bush Stackable Bookrack, Mobile",123.51,88.95,11.74,35.85,15.09,63.61,48.48,19.914
FUR-BO-10000210,Furniture,Bookcases,"Ikea Library with Doors, Pine",291.59,255.13,15.33,32.06,13.83,71.65,56.47,18.385
FUR-BO-10000214,Furniture,Bookcases,"Ikea Library with Doors, Pine",96.66,227.98,6.56,32.88,14.59,71.5,65.14,19.849
FUR-BO-10000243,Furniture,Bookcases,"Safco Floating Shelf Set, Pine",124.43,146.24,9.31,34.63,16.0,69.8,72.93,22.381
FUR-BO-10000259,Furniture,Bookcases,"Safco Classic Bookcase, Traditional",438.15,324.24,29.24,35.57,12.27,62.7,45.05,15.836
FUR-BO-10000265,Furniture,Bookcases,"Bush Floating Shelf Set, Pine",155.26,119.03,5.72,34.94,15.33,70.03,51.33,21.707
FUR-BO-10000268,Furniture,Bookcases,"Bush Library with Doors, Pine",329.0,325.37,16.1,31.56,12.75,71.68,51.77,16.692
FUR-BO-10000269,Furniture,Bookcases,"Dania Stackable Bookrack, Pine",82.74,53.8,1.83,32.98,14.62,61.95,50.43,17.286
FUR-BO-10000279,Furniture,Bookcases,"Dania Classic Bookcase, Pine",370.8,284.27,121.47,30.65,15.84,69.94,66.85,19.65
FUR-BO-10000288,Furniture,Bookcases,"Safco Classic Bookcase, Traditional",438.15,425.01,48.09,34.34,12.55,68.13,84.93,16.992
FUR-BO-10000311,Furniture,Bookcases,"Safco Floating Shelf Set, Metal",176.48,137.24,12.72,30.17,12.14,70.43,69.31,14.928
FUR-BO-10000321,Furniture,Bookcases,"Dania Floating Shelf Set, Mobile",68.15,107.7,11.59,30.04,15.07,61.23,75.71,16.041
FUR-BO-10000330,Furniture,Bookcases,"Sauder Camden County Barrister Bookcase, Planked Cherry Finish",120.98,104.04,5.63,35.86,13.56,69.15,86.86,19.459
FUR-BO-10000362,Furniture,Bookcases,Sauder Inglewood Library Bookcases,145.18,131.5,7.65,32.27,13.0,71.2,89.02,17.285
FUR-BO-10000378,Furniture,Bookcases,"Bush Floating Shelf Set, Pine",115.08,82.86,16.25,33.24,14.65,66.02,68.62,18.605
FUR-BO-10000402,Furniture,Bookcases,"Sauder Stackable Bookrack, Traditional",131.55,124.25,10.54,32.25,13.55,67.16,62.3,16.984
FUR-BO-10000411,Furniture,Bookcases,"Sauder Floating Shelf Set, Metal",103.29,72.26,4.37,33.8,15.86,64.29,51.18,19.944
FUR-BO-10000425,Furniture,Bookcases,"Bush Floating Shelf Set, Traditional",102.36,124.64,15.87,30.59,13.71,60.34,59.32,14.645
FUR-BO-10000468,Furniture,Bookcases,O'Sullivan 2-Shelf Heavy-Duty Bookcases,13.87,40.11,1.32,30.68,15.67,69.93,67.01,19.456
FUR-BO-10000490,Furniture,Bookcases,"Bush Library with Doors, Metal",327.3,309.14,64.13,30.8,13.34,65.28,75.27,15.522
FUR-BO-10000502,Furniture,Bookcases,"Sauder Classic Bookcase, Mobile",292.34,245.58,9.72,34.34,12.35,64.82,82.05,15.909
FUR-BO-10000514,Furniture,Bookcases,"Bush Library with Doors, Traditional",327.79,346.01,18.53,30.11,14.91,71.37,50.66,18.542
FUR-BO-10000517,Furniture,Bookcases,"Ikea Stackable Bookrack, Metal",31.94,76.7,3.51,33.02,15.68,69.27,89.47,20.755
FUR-BO-10000533,Furniture,Bookcases,"Dania Corner Shelving, Pine",123.42,109.86,7.6,34.92,13.75,71.39,54.25,19.837
FUR-BO-10000567,Furniture,Bookcases,"Sauder Classic Bookcase, Traditional",232.33,226.52,18.88,30.67,15.19,70.76,60.27,19.077
FUR-BO-10000596,Furniture,Bookcases,"Sauder Classic Bookcase, Mobile",394.56,241.1,23.35,31.16,15.79,62.94,79.99,17.921
FUR-BO-10000610,Furniture,Bookcases,"Ikea Stackable Bookrack, Mobile",116.27,63.74,13.9,31.14,14.56,71.45,46.66,18.747
FUR-BO-10000616,Furniture,Bookcases,"Dania Corner Shelving, Pine",73.65,88.49,3.83,30.86,14.42,61.98,59.26,15.961
FUR-BO-10000623,Furniture,Bookcases,"Safco Library with Doors, Metal",155.1,341.94,16.82,33.01,12.02,68.35,56.6,15.694
FUR-BO-10000624,Furniture,Bookcases,"Safco Classic Bookcase, Metal",291.74,245.08,20.54,35.26,12.82,65.42,86.1,17.113
FUR-BO-10000636,Furniture,Bookcases,"Dania Floating Shelf Set, Metal",112.54,66.4,9.8,35.31,13.42,65.62,54.33,17.995
FUR-BO-10000655,Furniture,Bookcases,"Dania Classic Bookcase, Traditional",369.58,340.85,36.94,35.14,13.17,68.69,50.77,18.397
FUR-BO-10000666,Furniture,Bookcases,"Ikea 3-Shelf Cabinet, Mobile",144.96,124.68,6.07,31.27,13.95,61.0,58.75,15.399
FUR-BO-10000668,Furniture,Bookcases,"Sauder Classic Bookcase, Mobile",275.89,385.52,11.02,33.37,14.23,63.46,50.79,17.439
FUR-BO-10000670,Furniture,Bookcases,"Dania Corner Shelving, Metal",109.28,70.4,4.93,34.94,15.09,65.48,45.49,19.979
FUR-BO-10000676,Furniture,Bookcases,"Bush Stackable Bookrack, Pine",81.57,119.38,3.57,35.97,14.43,60.6,64.81,18.203
FUR-BO-10000684,Furniture,Bookcases,"Sauder Corner Shelving, Traditional",132.47,136.91,3.26,34.6,12.87,69.9,70.34,18.013
FUR-BO-10000699,Furniture,Bookcases,"Sauder 3-Shelf Cabinet, Traditional",166.68,148.35,20.99,35.53,12.56,60.8,77.9,15.702
FUR-BO-10000700,Furniture,Bookcases,"Sauder Floating Shelf Set, Metal",116.02,164.54,6.69,35.72,13.59,61.3,66.27,17.221
FUR-BO-10000711,Furniture,Bookcases,"Hon Metal Bookcases, Gray",70.98,51.82,3.83,32.29,15.28,67.84,63.8,19.37
FUR-BO-10000712,Furniture,Bookcases,"Bush Corner Shelving, Pine",125.34,68.94,8.06,30.19,14.14,67.75,62.84,16.737
FUR-BO-10000728,Furniture,Bookcases,"Dania Corner Shelving, Traditional",122.07,80.58,8.94,35.61,14.6,63.08,45.42,18.979
FUR-BO-10000734,Furniture,Bookcases,"Bush Corner Shelving, Pine",66.65,53.28,4.52,34.29,14.02,65.9,55.19,18.334
FUR-BO-10000746,Furniture,Bookcases,"Ikea Corner Shelving, Mobile",83.72,47.74,8.47,32.89,12.77,66.17,52.6,16.083
FUR-BO-10000780,Furniture,Bookcases,O'Sullivan Plantations 2-Door Library in Landvery Oak,136.35,168.5,32.92,35.11,12.49,60.7,55.69,15.404
FUR-BO-10000786,Furniture,Bookcases,"Sauder Stackable Bookrack, Pine",148.17,94.83,10.22,35.52,12.15,60.69,52.42,15.157
FUR-BO-10000791,Furniture,Bookcases,"Dania Library with Doors, Traditional",96.04,212.02,4.92,32.3,13.92,63.53,67.43,16.53
FUR-BO-10000797,Furniture,Bookcases,"Safco 3-Shelf Cabinet, Pine",153.07,142.88,17.28,30.38,14.7,60.19,52.32,15.556
FUR-BO-10000807,Furniture,Bookcases,"Sauder Floating Shelf Set, Mobile",117.86,123.8,1.59,33.64,13.45,68.86,70.48,18.03
FUR-BO-10000820,Furniture,Bookcases,"Sauder 3-Shelf Cabinet, Metal",149.43,107.9,27.51,33.07,13.57,71.9,55.44,18.672
FUR-BO-10000847,Furniture,Bookcases,"Dania Stackable Bookrack, Mobile",109.33,68.0,17.58,31.33,13.49,69.78,56.84,17.067
FUR-BO-10000883,Furniture,Bookcases,"Dania Corner Shelving, Mobile",124.59,123.36,12.37,30.62,14.44,65.58,58.02,16.78
FUR-BO-10000889,Furniture,Bookcases,"Safco 3-Shelf Cabinet, Mobile",102.42,145.28,14.48,32.64,14.09,63.35,47.74,16.86
FUR-BO-10000891,Furniture,Bookcases,"Ikea Classic Bookcase, Pine",164.84,214.42,10.59,31.97,13.68,66.45,46.29,16.818
FUR-BO-10000892,Furniture,Bookcases,"Bush Corner Shelving, Mobile",126.51,123.99,34.38,32.59,15.45,70.0,89.14,20.397
FUR-BO-10000895,Furniture,Bookcases,"Sauder Corner Shelving, Metal",131.98,104.12,15.07,30.39,13.6,65.62,86.8,15.695
FUR-BO-10000936,Furniture,Bookcases,"Bush Floating Shelf Set, Traditional",171.27,140.46,7.6,31.12,12.71,68.82,69.37,15.753
FUR-BO-10000961,Furniture,Bookcases,"Bush Stackable Bookrack, Pine",112.27,79.82,8.74,34.13,15.37,69.29,87.84,21.035
FUR-BO-10000967,Furniture,Bookcases,"Ikea Library with Doors, Pine",364.74,244.38,43.22,34.4,14.85,67.77,70.93,20.035
FUR-BO-10000980,Furniture,Bookcases,"Bush Library with Doors, Traditional",338.75,233.12,153.63,33.77,12.2,65.24,55.93,15.555
FUR-BO-10001003,Furniture,Bookcases,"Dania 3-Shelf Cabinet, Traditional",141.45,73.56,8.71,35.17,14.26,69.68,76.11,20.223
FUR-BO-10001010,Furniture,Bookcases,"Dania Corner Shelving, Mobile",124.59,88.47,20.52,31.23,14.17,66.44,49.96,17.015
FUR-BO-10001039,Furniture,Bookcases,"Dania Classic Bookcase, Traditional",204.88,233.65,25.84,32.82,12.1,62.61,64.19,14.389
FUR-BO-10001042,Furniture,Bookcases,"Dania 3-Shelf Cabinet, Pine",75.96,80.72,15.7,35.41,15.37,68.37,70.17,21.534
FUR-BO-10001067,Furniture,Bookcases,"Bush Stackable Bookrack, Pine",49.54,56.22,6.87,34.62,12.62,71.68,80.51,18.123
FUR-BO-10001073,Furniture,Bookcases,"Safco Classic Bookcase, Metal",275.32,354.11,21.32,34.7,15.88,70.63,74.53,22.523
FUR-BO-10001099,Furniture,Bookcases,"Bush Corner Shelving, Traditional",49.2,62.44,3.27,33.03,13.59,68.99,66.75,17.921
FUR-BO-10001133,Furniture,Bookcases,"Ikea Classic Bookcase, Mobile",372.74,281.63,20.51,30.19,15.77,65.41,83.43,18.022
FUR-BO-10001147,Furniture,Bookcases,"Bush Floating Shelf Set, Metal",170.73,126.36,16.76,34.83,13.47,69.83,76.16,18.959
FUR-BO-10001155,Furniture,Bookcases,"Dania 3-Shelf Cabinet, Traditional",141.45,132.99,17.78,34.75,13.24,66.59,89.23,17.73
FUR-BO-10001165,Furniture,Bookcases,"Bush Library with Doors, Mobile",330.06,249.38,46.1,32.85,13.51,61.52,49.37,15.8
FUR-BO-10001192,Furniture,Bookcases,"Bush Library with Doors, Mobile",330.06,209.0,102.72,31.64,14.29,63.88,78.56,16.714
FUR-BO-10001196,Furniture,Bookcases,"Bush Library with Doors, Pine",365.67,277.92,38.35,32.25,12.62,71.79,52.73,16.909
FUR-BO-10001201,Furniture,Bookcases,"Bush Stackable Bookrack, Mobile",49.0,46.54,8.99,31.79,13.88,63.35,87.94,16.176
FUR-BO-10001212,Furniture,Bookcases,"Safco Classic Bookcase, Mobile",286.09,391.87,23.26,30.47,14.55,65.07,66.8,16.694
FUR-BO-10001216,Furniture,Bookcases,"Sauder 3-Shelf Cabinet, Mobile",109.63,101.17,12.5,31.03,12.91,68.63,79.16,15.91
FUR-BO-10001233,Furniture,Bookcases,"Ikea 3-Shelf Cabinet, Mobile",57.38,124.08,14.89,32.73,15.21,69.75,84.81,20.094
FUR-BO-10001254,Furniture,Bookcases,"Dania 3-Shelf Cabinet, Mobile",143.97,143.97,10.55,35.57,14.11,66.06,74.86,19.187
FUR-BO-10001255,Furniture,Bookcases,"Ikea Library with Doors, Mobile",182.46,314.2,6.3,31.74,12.72,67.04,51.21,15.663
FUR-BO-10001256,Furniture,Bookcases,"Ikea Corner Shelving, Pine",124.41,114.48,7.99,30.73,12.61,61.76,49.49,13.85
FUR-BO-10001271,Furniture,Bookcases,"Sauder Classic Bookcase, Pine",116.02,153.94,8.75,33.29,15.93,71.91,70.5,22.069
FUR-BO-10001276,Furniture,Bookcases,"Safco Floating Shelf Set, Mobile",52.54,68.48,2.21,35.3,14.42,68.06,64.96,20.049
FUR-BO-10001287,Furniture,Bookcases,"Dania Floating Shelf Set, Metal",168.81,104.67,21.52,30.45,12.65,68.23,78.0,15.209
FUR-BO-10001295,Furniture,Bookcases,"Safco Floating Shelf Set, Traditional",131.16,70.84,20.28,34.48,12.0,69.41,49.81,16.62
FUR-BO-10001309,Furniture,Bookcases,"Ikea Classic Bookcase, Traditional",411.75,325.29,130.3,34.52,15.89,66.62,69.74,21.147
FUR-BO-10001318,Furniture,Bookcases,"Safco Library with Doors, Mobile",104.02,151.1,38.28,34.71,13.92,65.6,60.41,18.342
FUR-BO-10001324,Furniture,Bookcases,"Sauder Floating Shelf Set, Pine",176.24,150.77,24.55,34.06,14.83,66.66,79.7,19.485
FUR-BO-10001326,Furniture,Bookcases,"Bush 3-Shelf Cabinet, Pine",144.72,120.12,31.61,30.51,15.58,60.53,80.29,16.651
FUR-BO-10001337,Furniture,Bookcases,O'Sullivan Living Dimensions 2-Shelf Bookcases,96.58,108.68,6.99,34.92,12.61,64.04,62.39,16.319
FUR-BO-10001342,Furniture,Bookcases,"Safco Corner Shelving, Metal",148.92,148.92,5.55,35.78,13.57,64.61,47.24,18.154
FUR-BO-10001356,Furniture,Bookcases,"Ikea Library with Doors, Mobile",194.95,194.96,101.51,30.27,14.84,71.14,86.69,18.493
FUR-BO-10001358,Furniture,Bookcases,"Bush 3-Shelf Cabinet, Traditional",56.95,92.32,4.78,30.86,14.39,61.75,60.78,15.869
FUR-BO-10001362,Furniture,Bookcases,"Ikea Classic Bookcase, Metal",411.21,349.53,66.94,30.96,15.9,65.93,62.72,18.782
FUR-BO-10001369,Furniture,Bookcases,"Sauder Stackable Bookrack, Mobile",78.1,74.2,2.9,32.48,14.44,66.46,52.31,18.038
FUR-BO-10001370,Furniture,Bookcases,"Sauder Classic Bookcase, Mobile",438.51,385.89,137.96,33.98,12.38,70.58,49.58,17.182
FUR-BO-10001372,Furniture,Bookcases,"Safco Classic Bookcase, Pine",395.45,408.65,25.77,35.64,12.81,69.35,72.21,18.323
FUR-BO-10001385,Furniture,Bookcases,"Sauder Corner Shelving, Metal",146.76,82.2,12.19,35.4,14.25,64.67,68.92,18.879
FUR-BO-10001387,Furniture,Bookcases,"Safco Floating Shelf Set, Traditional",196.74,110.19,19.93,30.63,13.76,63.17,63.72,15.408
FUR-BO-10001390,Furniture,Bookcases,"Bush Floating Shelf Set, Traditional",91.14,66.04,17.1,32.98,14.92,69.07,75.18,19.668
FUR-BO-10001392,Furniture,Bookcases,"Sauder Classic Bookcase, Traditional",392.29,257.15,32.85,32.93,14.43,63.49,86.72,17.459
FUR-BO-10001393,Furniture,Bookcases,"Safco 3-Shelf Cabinet, Pine",106.85,151.1,10.26,30.17,15.61,69.37,84.12,18.906
FUR-BO-10001405,Furniture,Bookcases,"Bush Stackable Bookrack, Pine",112.27,76.07,22.71,34.17,15.59,69.13,51.27,21.311
FUR-BO-10001436,Furniture,Bookcases,"Bush Corner Shelving, Traditional",111.49,97.88,16.03,32.12,13.33,63.82,79.29,15.813
FUR-BO-10001452,Furniture,Bookcases,"Dania Stackable Bookrack, Pine",124.11,75.72,4.1,32.52,13.85,71.05,77.09,18.519
FUR-BO-10001461,Furniture,Bookcases,"Safco Floating Shelf Set, Traditional",196.74,98.37,33.1,31.85,12.7,67.17,70.47,15.723
FUR-BO-10001471,Furniture,Bookcases,"Sauder Classic Bookcase, Metal",391.81,226.34,24.76,30.75,15.42,66.49,56.61,18.245
FUR-BO-10001476,Furniture,Bookcases,"Safco Corner Shelving, Pine",100.54,82.46,11.5,32.46,15.8,71.4,48.52,21.191
FUR-BO-10001483,Furniture,Bookcases,"Bush Corner Shelving, Metal",65.64,71.42,14.57,30.7,12.38,71.57,49.88,15.742
FUR-BO-10001498,Furniture,Bookcases,"Dania Classic Bookcase, Pine",274.74,173.1,25.17,34.19,12.29,69.04,75.56,16.788
FUR-BO-10001501,Furniture,Bookcases,"Bush Classic Bookcase, Metal",412.14,234.93,21.36,34.62,15.49,66.15,89.42,20.529
FUR-BO-10001507,Furniture,Bookcases,"Ikea Library with Doors, Traditional",242.26,213.2,29.51,30.41,15.6,68.18,52.44,18.718
FUR-BO-10001519,Furniture,Bookcases,O'Sullivan 3-Shelf Heavy-Duty Bookcases,46.31,43.99,3.23,32.32,12.44,68.86,52.89,16.022
FUR-BO-10001524,Furniture,Bookcases,"Bush Stackable Bookrack, Pine",32.7,56.02,2.07,35.56,15.36,61.39,89.88,19.405
FUR-BO-10001537,Furniture,Bookcases,"Ikea Corner Shelving, Metal",122.52,117.63,9.1,30.68,14.12,68.33,52.04,17.13
FUR-BO-10001541,Furniture,Bookcases,"Bush Stackable Bookrack, Traditional",98.18,112.96,7.99,32.1,14.41,63.39,72.33,16.969
FUR-BO-10001553,Furniture,Bookcases,"Sauder Library with Doors, Traditional",348.77,383.66,50.51,34.09,15.49,70.13,51.59,21.431
FUR-BO-10001555,Furniture,Bookcases,"Bush Corner Shelving, Metal",123.45,106.17,7.7,30.44,14.35,65.81,71.64,16.636
FUR-BO-10001558,Furniture,Bookcases,"Safco 3-Shelf Cabinet, Pine",101.71,151.07,19.54,32.33,15.77,61.88,62.5,18.258
FUR-BO-10001567,Furniture,Bookcases,"Bush Westfield Collection Bookcases, Dark Cherry Finish, Fully Assembled",29.59,93.21,1.98,33.42,15.22,62.71,70.75,18.459
FUR-BO-10001580,Furniture,Bookcases,"Dania Stackable Bookrack, Pine",77.08,101.69,13.75,33.07,12.47,61.73,53.38,14.732
FUR-BO-10001585,Furniture,Bookcases,"Sauder Floating Shelf Set, Mobile",197.1,124.2,22.9,30.27,15.01,67.22,50.71,17.675
FUR-BO-10001596,Furniture,Bookcases,"Dania Library with Doors, Mobile",194.42,199.3,3.85,32.51,13.18,66.04,56.47,16.376
FUR-BO-10001598,Furniture,Bookcases,"Bush Corner Shelving, Pine",125.34,68.94,9.72,31.71,15.57,68.45,53.14,19.558
FUR-BO-10001601,Furniture,Bookcases,"Sauder Mission Library with Doors, Fruitwood Finish",88.75,105.77,10.31,34.39,15.22,64.55,45.88,19.552
